record_id,text,timestamp,topic,region,true_polarity,data_source,clean_text,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_label,year_month,month_name,week
KE-0080,Interior Ministry issues security advisory ahead of elections. Citizens urged to remain calm.,2022-01-11 17:15:20,Security,Garissa,neutral,SYNTHETIC_DEMO,interior ministry issues security advisory ahead of elections. citizens urged to remain calm.,0.0,0.701,0.299,0.5719,Positive,2022-01,Jan 2022,2
KE-0015,IEBC has done a commendable job in voter registration. Democracy is winning! #Elections2022,2022-01-13 11:11:45,Elections,Nairobi,positive,SYNTHETIC_DEMO,iebc has done a commendable job in voter registration. democracy is winning! elections2022,0.0,0.765,0.235,0.5707,Positive,2022-01,Jan 2022,2
KE-0070,Violence at polling stations is shameful. Our democracy is under threat.,2022-01-14 23:48:23,Elections,Kisumu,negative,SYNTHETIC_DEMO,violence at polling stations is shameful. our democracy is under threat.,0.572,0.428,0.0,-0.8934,Negative,2022-01,Jan 2022,2
KE-0169,Kenya Power announces tariff review pending Energy Regulatory Commission approval.,2022-01-15 06:02:31,Economy,Machakos,neutral,SYNTHETIC_DEMO,kenya power announces tariff review pending energy regulatory commission approval.,0.0,0.606,0.394,0.6369,Positive,2022-01,Jan 2022,2
KE-0283,NSE gains 3% this week on investor confidence. Markets looking healthy.,2022-01-15 14:31:29,Economy,Nyeri,positive,SYNTHETIC_DEMO,nse gains 3% this week on investor confidence. markets looking healthy.,0.0,0.488,0.512,0.8126,Positive,2022-01,Jan 2022,2
KE-0076,Results being delayed without explanation. What is IEBC hiding? #ElectionFraud,2022-01-16 00:56:22,Elections,Mombasa,negative,SYNTHETIC_DEMO,results being delayed without explanation. what is iebc hiding? electionfraud,0.339,0.661,0.0,-0.4767,Negative,2022-01,Jan 2022,2
KE-0288,NHIF reforms failing to protect the poorest Kenyans. Reform the system now.,2022-01-16 04:49:51,Healthcare,Mombasa,negative,SYNTHETIC_DEMO,nhif reforms failing to protect the poorest kenyans. reform the system now.,0.37,0.489,0.141,-0.6369,Negative,2022-01,Jan 2022,2
KE-0208,Al-Shabaab attacks in the North East continue. Government response inadequate.,2022-01-16 07:26:42,Security,Kisumu,negative,SYNTHETIC_DEMO,al-shabaab attacks in the north east continue. government response inadequate.,0.412,0.588,0.0,-0.6808,Negative,2022-01,Jan 2022,2
KE-0119,Open data portal launched by State House praised by civil society. Good governance.,2022-01-16 15:13:58,Governance,Mombasa,positive,SYNTHETIC_DEMO,open data portal launched by state house praised by civil society. good governance.,0.0,0.568,0.432,0.765,Positive,2022-01,Jan 2022,2
KE-0285,Kenya Power announces tariff review pending Energy Regulatory Commission approval.,2022-01-16 22:21:33,Economy,Kakamega,neutral,SYNTHETIC_DEMO,kenya power announces tariff review pending energy regulatory commission approval.,0.0,0.606,0.394,0.6369,Positive,2022-01,Jan 2022,2
KE-0494,Inflation eroding purchasing power. The economy is failing ordinary people.,2022-01-17 12:36:40,Economy,Mombasa,negative,SYNTHETIC_DEMO,inflation eroding purchasing power. the economy is failing ordinary people.,0.268,0.732,0.0,-0.5106,Negative,2022-01,Jan 2022,3
KE-0318,The electoral process is transparent and credible. Kenyans deserve fair elections. #KenyaDecides2022,2022-01-19 13:03:25,Elections,Eldoret,positive,SYNTHETIC_DEMO,the electoral process is transparent and credible. kenyans deserve fair elections. kenyadecides2022,0.0,0.827,0.173,0.3182,Positive,2022-01,Jan 2022,3
KE-0333,Presidential results will be announced within 7 days per constitutional requirement.,2022-01-19 13:33:57,Elections,Eldoret,neutral,SYNTHETIC_DEMO,presidential results will be announced within 7 days per constitutional requirement.,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,3
KE-0453,Tallying of results continues at constituency level. Updates pending.,2022-01-19 21:41:46,Elections,Nyeri,neutral,SYNTHETIC_DEMO,tallying of results continues at constituency level. updates pending.,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,3
KE-0098,Results being delayed without explanation. What is IEBC hiding? #ElectionFraud,2022-01-20 12:04:09,Elections,Garissa,negative,SYNTHETIC_DEMO,results being delayed without explanation. what is iebc hiding? electionfraud,0.339,0.661,0.0,-0.4767,Negative,2022-01,Jan 2022,3
KE-0118,Voter turnout is impressive across the country. This is democracy at work.,2022-01-21 05:28:22,Elections,Nairobi,positive,SYNTHETIC_DEMO,voter turnout is impressive across the country. this is democracy at work.,0.0,0.769,0.231,0.5106,Positive,2022-01,Jan 2022,3
KE-0312,Maternal mortality in rural Kenya remains unacceptably high. Neglect must end.,2022-01-21 16:23:24,Healthcare,Nairobi,negative,SYNTHETIC_DEMO,maternal mortality in rural kenya remains unacceptably high. neglect must end.,0.231,0.769,0.0,-0.4588,Negative,2022-01,Jan 2022,3
KE-0195,Police brutality during protests is deeply troubling. Officers must be held accountable.,2022-01-22 19:04:08,Security,Nairobi,negative,SYNTHETIC_DEMO,police brutality during protests is deeply troubling. officers must be held accountable.,0.519,0.481,0.0,-0.8655,Negative,2022-01,Jan 2022,3
KE-0282,Kenya Power announces tariff review pending Energy Regulatory Commission approval.,2022-01-22 19:33:43,Economy,Eldoret,neutral,SYNTHETIC_DEMO,kenya power announces tariff review pending energy regulatory commission approval.,0.0,0.606,0.394,0.6369,Positive,2022-01,Jan 2022,3
KE-0029,Public funds being looted while hospitals lack medicine. Accountability needed now.,2022-01-23 11:54:06,Governance,Eldoret,negative,SYNTHETIC_DEMO,public funds being looted while hospitals lack medicine. accountability needed now.,0.187,0.813,0.0,-0.3182,Negative,2022-01,Jan 2022,3
KE-0415,Kenya's COVID-19 vaccination coverage exceeds 60%. Strong public health response.,2022-01-23 23:26:06,Healthcare,Eldoret,positive,SYNTHETIC_DEMO,kenya's covid-19 vaccination coverage exceeds 60%. strong public health response.,0.0,0.732,0.268,0.5106,Positive,2022-01,Jan 2022,3
KE-0248,Multi-agency security teams conducting patrols in volatile regions.,2022-01-24 07:03:47,Security,Kisumu,neutral,SYNTHETIC_DEMO,multi-agency security teams conducting patrols in volatile regions.,0.0,0.745,0.255,0.34,Positive,2022-01,Jan 2022,4
KE-0442,Voter turnout is impressive across the country. This is democracy at work.,2022-01-24 09:37:23,Elections,Mombasa,positive,SYNTHETIC_DEMO,voter turnout is impressive across the country. this is democracy at work.,0.0,0.769,0.231,0.5106,Positive,2022-01,Jan 2022,4
KE-0319,Observers from the AU and EU deployed to monitor the electoral process.,2022-01-25 09:24:18,Elections,Kakamega,neutral,SYNTHETIC_DEMO,observers from the au and eu deployed to monitor the electoral process.,0.0,1.0,0.0,0.0,Neutral,2022-01,Jan 2022,4
KE-0329,Cabinet approves National Development Plan 2022–2027. Implementation timelines unclear.,2022-01-25 12:08:22,Governance,Kisumu,neutral,SYNTHETIC_DEMO,cabinet approves national development plan 2022–2027. implementation timelines unclear.,0.171,0.598,0.231,0.1779,Positive,2022-01,Jan 2022,4
KE-0352,Drug shortage at government hospitals is alarming. Patients buying meds privately.,2022-01-26 05:16:33,Healthcare,Thika,negative,SYNTHETIC_DEMO,drug shortage at government hospitals is alarming. patients buying meds privately.,0.28,0.72,0.0,-0.3612,Negative,2022-01,Jan 2022,4
KE-0240,IEBC has done a commendable job in voter registration. Democracy is winning! #Elections2022,2022-01-26 12:12:10,Elections,Kakamega,positive,SYNTHETIC_DEMO,iebc has done a commendable job in voter registration. democracy is winning! elections2022,0.0,0.765,0.235,0.5707,Positive,2022-01,Jan 2022,4
KE-0291,Drug shortage at government hospitals is alarming. Patients buying meds privately.,2022-01-26 14:20:34,Healthcare,Nairobi,negative,SYNTHETIC_DEMO,drug shortage at government hospitals is alarming. patients buying meds privately.,0.28,0.72,0.0,-0.3612,Negative,2022-01,Jan 2022,4
KE-0281,Kenya Medical Supplies Authority to distribute free ARVs to 54 public hospitals.,2022-01-27 12:28:26,Healthcare,Kisumu,neutral,SYNTHETIC_DEMO,kenya medical supplies authority to distribute free arvs to 54 public hospitals.,0.0,0.685,0.315,0.5574,Positive,2022-01,Jan 2022,4
KE-0229,IEBC has done a commendable job in voter registration. Democracy is winning! #Elections2022,2022-01-27 15:29:34,Elections,Kakamega,positive,SYNTHETIC_DEMO,iebc has done a commendable job in voter registration. democracy is winning! elections2022,0.0,0.765,0.235,0.5707,Positive,2022-01,Jan 2022,4
KE-0036,Kenya's GDP growth projected at 5.5% this year. Strong fundamentals. #KenyaEconomy,2022-01-28 13:42:12,Economy,Nakuru,positive,SYNTHETIC_DEMO,kenya's gdp growth projected at 5.5% this year. strong fundamentals. kenyaeconomy,0.0,0.604,0.396,0.7096,Positive,2022-01,Jan 2022,4
KE-0157,Results coming in smoothly. The system is working. Trust the process. #KenyaVotes,2022-01-28 15:26:36,Elections,Eldoret,positive,SYNTHETIC_DEMO,results coming in smoothly. the system is working. trust the process. kenyavotes,0.0,0.769,0.231,0.5106,Positive,2022-01,Jan 2022,4
KE-0095,Voter turnout is impressive across the country. This is democracy at work.,2022-01-29 06:48:29,Elections,Nyeri,positive,SYNTHETIC_DEMO,voter turnout is impressive across the country. this is democracy at work.,0.0,0.769,0.231,0.5106,Positive,2022-01,Jan 2022,4
KE-0441,Inflation eroding purchasing power. The economy is failing ordinary people.,2022-01-29 08:41:04,Economy,Nakuru,negative,SYNTHETIC_DEMO,inflation eroding purchasing power. the economy is failing ordinary people.,0.268,0.732,0.0,-0.5106,Negative,2022-01,Jan 2022,4
KE-0213,KDF and NPS cooperation securing borders effectively. Kenya is safe.,2022-01-30 05:50:27,Security,Mombasa,positive,SYNTHETIC_DEMO,kdf and nps cooperation securing borders effectively. kenya is safe.,0.0,0.464,0.536,0.7964,Positive,2022-01,Jan 2022,4
KE-0278,IEBC has done a commendable job in voter registration. Democracy is winning! #Elections2022,2022-01-30 06:20:36,Elections,Kakamega,positive,SYNTHETIC_DEMO,iebc has done a commendable job in voter registration. democracy is winning! elections2022,0.0,0.765,0.235,0.5707,Positive,2022-01,Jan 2022,4
KE-0489,Kenya's debt burden will cripple future generations. Reckless borrowing must stop.,2022-01-31 16:30:45,Economy,Eldoret,negative,SYNTHETIC_DEMO,kenya's debt burden will cripple future generations. reckless borrowing must stop.,0.595,0.405,0.0,-0.8519,Negative,2022-01,Jan 2022,5
KE-0010,Peaceful voting is a sign of maturity. Proud to be Kenyan today. #Uchaguzi2022,2022-01-31 23:42:54,Elections,Nakuru,positive,SYNTHETIC_DEMO,peaceful voting is a sign of maturity. proud to be kenyan today. uchaguzi2022,0.0,0.636,0.364,0.743,Positive,2022-01,Jan 2022,5
KE-0445,Kenya's debt burden will cripple future generations. Reckless borrowing must stop.,2022-02-01 03:59:02,Economy,Machakos,negative,SYNTHETIC_DEMO,kenya's debt burden will cripple future generations. reckless borrowing must stop.,0.595,0.405,0.0,-0.8519,Negative,2022-02,Feb 2022,5
KE-0336,IMF approves $2.3B extended credit facility for Kenya. Conditions attached.,2022-02-02 01:59:42,Economy,Garissa,neutral,SYNTHETIC_DEMO,imf approves $2.3b extended credit facility for kenya. conditions attached.,0.0,0.602,0.398,0.6486,Positive,2022-02,Feb 2022,5
KE-0425,Drug shortage at government hospitals is alarming. Patients buying meds privately.,2022-02-03 16:27:16,Healthcare,Machakos,negative,SYNTHETIC_DEMO,drug shortage at government hospitals is alarming. patients buying meds privately.,0.28,0.72,0.0,-0.3612,Negative,2022-02,Feb 2022,5
KE-0351,Results coming in smoothly. The system is working. Trust the process. #KenyaVotes,2022-02-04 02:16:08,Elections,Kisumu,positive,SYNTHETIC_DEMO,results coming in smoothly. the system is working. trust the process. kenyavotes,0.0,0.769,0.231,0.5106,Positive,2022-02,Feb 2022,5
KE-0193,IEBC confirms voter turnout at 63% nationally as of midday.,2022-02-05 02:23:47,Elections,Eldoret,neutral,SYNTHETIC_DEMO,iebc confirms voter turnout at 63% nationally as of midday.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,5
KE-0020,Results being delayed without explanation. What is IEBC hiding? #ElectionFraud,2022-02-05 07:20:13,Elections,Garissa,negative,SYNTHETIC_DEMO,results being delayed without explanation. what is iebc hiding? electionfraud,0.339,0.661,0.0,-0.4767,Negative,2022-02,Feb 2022,5
KE-0006,The electoral process is transparent and credible. Kenyans deserve fair elections. #KenyaDecides2022,2022-02-06 00:27:14,Elections,Thika,positive,SYNTHETIC_DEMO,the electoral process is transparent and credible. kenyans deserve fair elections. kenyadecides2022,0.0,0.827,0.173,0.3182,Positive,2022-02,Feb 2022,5
KE-0046,IEBC cannot be trusted to deliver credible results. The system is rigged! #RiggedElections,2022-02-06 05:16:19,Elections,Garissa,negative,SYNTHETIC_DEMO,iebc cannot be trusted to deliver credible results. the system is rigged! riggedelections,0.327,0.673,0.0,-0.6537,Negative,2022-02,Feb 2022,5
KE-0093,KDF and NPS cooperation securing borders effectively. Kenya is safe.,2022-02-06 06:25:54,Security,Kakamega,positive,SYNTHETIC_DEMO,kdf and nps cooperation securing borders effectively. kenya is safe.,0.0,0.464,0.536,0.7964,Positive,2022-02,Feb 2022,5
KE-0296,Inflation eroding purchasing power. The economy is failing ordinary people.,2022-02-06 07:02:41,Economy,Kisumu,negative,SYNTHETIC_DEMO,inflation eroding purchasing power. the economy is failing ordinary people.,0.268,0.732,0.0,-0.5106,Negative,2022-02,Feb 2022,5
KE-0491,IEBC cannot be trusted to deliver credible results. The system is rigged! #RiggedElections,2022-02-06 07:29:16,Elections,Mombasa,negative,SYNTHETIC_DEMO,iebc cannot be trusted to deliver credible results. the system is rigged! riggedelections,0.327,0.673,0.0,-0.6537,Negative,2022-02,Feb 2022,5
KE-0040,IEBC confirms voter turnout at 63% nationally as of midday.,2022-02-06 15:10:48,Elections,Machakos,neutral,SYNTHETIC_DEMO,iebc confirms voter turnout at 63% nationally as of midday.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,5
KE-0247,Results being delayed without explanation. What is IEBC hiding? #ElectionFraud,2022-02-07 12:02:44,Elections,Mombasa,negative,SYNTHETIC_DEMO,results being delayed without explanation. what is iebc hiding? electionfraud,0.339,0.661,0.0,-0.4767,Negative,2022-02,Feb 2022,6
KE-0473,Observers from the AU and EU deployed to monitor the electoral process.,2022-02-08 07:05:43,Elections,Nyeri,neutral,SYNTHETIC_DEMO,observers from the au and eu deployed to monitor the electoral process.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,6
KE-0223,Community policing initiatives reducing crime in Nairobi estates. Good progress.,2022-02-08 10:56:54,Security,Machakos,positive,SYNTHETIC_DEMO,community policing initiatives reducing crime in nairobi estates. good progress.,0.216,0.432,0.352,0.296,Positive,2022-02,Feb 2022,6
KE-0225,Presidential results will be announced within 7 days per constitutional requirement.,2022-02-08 14:03:07,Elections,Nakuru,neutral,SYNTHETIC_DEMO,presidential results will be announced within 7 days per constitutional requirement.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,6
KE-0187,Transparency in public procurement improving under new regulations. Keep it up.,2022-02-08 23:27:57,Governance,Kakamega,positive,SYNTHETIC_DEMO,transparency in public procurement improving under new regulations. keep it up.,0.0,0.781,0.219,0.4215,Positive,2022-02,Feb 2022,6
KE-0299,Peaceful voting is a sign of maturity. Proud to be Kenyan today. #Uchaguzi2022,2022-02-09 06:42:00,Elections,Mombasa,positive,SYNTHETIC_DEMO,peaceful voting is a sign of maturity. proud to be kenyan today. uchaguzi2022,0.0,0.636,0.364,0.743,Positive,2022-02,Feb 2022,6
KE-0277,Devolution has brought services closer to citizens. Counties are delivering.,2022-02-09 22:12:27,Governance,Kisumu,positive,SYNTHETIC_DEMO,devolution has brought services closer to citizens. counties are delivering.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,6
KE-0287,NSE gains 3% this week on investor confidence. Markets looking healthy.,2022-02-10 04:42:26,Economy,Nairobi,positive,SYNTHETIC_DEMO,nse gains 3% this week on investor confidence. markets looking healthy.,0.0,0.488,0.512,0.8126,Positive,2022-02,Feb 2022,6
KE-0273,Maternal mortality in rural Kenya remains unacceptably high. Neglect must end.,2022-02-11 02:42:57,Healthcare,Mombasa,negative,SYNTHETIC_DEMO,maternal mortality in rural kenya remains unacceptably high. neglect must end.,0.231,0.769,0.0,-0.4588,Negative,2022-02,Feb 2022,6
KE-0487,Devolution has brought services closer to citizens. Counties are delivering.,2022-02-11 13:27:55,Governance,Machakos,positive,SYNTHETIC_DEMO,devolution has brought services closer to citizens. counties are delivering.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,6
KE-0410,IEBC confirms voter turnout at 63% nationally as of midday.,2022-02-12 10:03:55,Elections,Eldoret,neutral,SYNTHETIC_DEMO,iebc confirms voter turnout at 63% nationally as of midday.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,6
KE-0263,Observers from the AU and EU deployed to monitor the electoral process.,2022-02-13 01:34:03,Elections,Thika,neutral,SYNTHETIC_DEMO,observers from the au and eu deployed to monitor the electoral process.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,6
KE-0028,Cabinet approves National Development Plan 2022–2027. Implementation timelines unclear.,2022-02-13 10:40:57,Governance,Nyeri,neutral,SYNTHETIC_DEMO,cabinet approves national development plan 2022–2027. implementation timelines unclear.,0.171,0.598,0.231,0.1779,Positive,2022-02,Feb 2022,6
KE-0435,Inflation eroding purchasing power. The economy is failing ordinary people.,2022-02-13 13:51:42,Economy,Mombasa,negative,SYNTHETIC_DEMO,inflation eroding purchasing power. the economy is failing ordinary people.,0.268,0.732,0.0,-0.5106,Negative,2022-02,Feb 2022,6
KE-0347,Central Bank holds base rate at 7.5%. MPC cites stable inflation outlook.,2022-02-14 01:25:03,Economy,Eldoret,neutral,SYNTHETIC_DEMO,central bank holds base rate at 7.5%. mpc cites stable inflation outlook.,0.0,0.833,0.167,0.296,Positive,2022-02,Feb 2022,7
KE-0235,Voter turnout is impressive across the country. This is democracy at work.,2022-02-14 03:17:17,Elections,Machakos,positive,SYNTHETIC_DEMO,voter turnout is impressive across the country. this is democracy at work.,0.0,0.769,0.231,0.5106,Positive,2022-02,Feb 2022,7
KE-0271,Fuel prices at an all-time high. The government must act now. #FuelCrisis,2022-02-14 17:29:37,Economy,Machakos,negative,SYNTHETIC_DEMO,fuel prices at an all-time high. the government must act now. fuelcrisis,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,7
KE-0064,The electoral commission has failed Kenyans again. We demand accountability.,2022-02-14 19:52:23,Elections,Kisumu,negative,SYNTHETIC_DEMO,the electoral commission has failed kenyans again. we demand accountability.,0.375,0.625,0.0,-0.5859,Negative,2022-02,Feb 2022,7
KE-0437,NSE gains 3% this week on investor confidence. Markets looking healthy.,2022-02-15 03:26:07,Economy,Garissa,positive,SYNTHETIC_DEMO,nse gains 3% this week on investor confidence. markets looking healthy.,0.0,0.488,0.512,0.8126,Positive,2022-02,Feb 2022,7
KE-0430,Presidential results will be announced within 7 days per constitutional requirement.,2022-02-15 14:23:38,Elections,Garissa,neutral,SYNTHETIC_DEMO,presidential results will be announced within 7 days per constitutional requirement.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,7
KE-0176,NSE gains 3% this week on investor confidence. Markets looking healthy.,2022-02-15 14:51:49,Economy,Mombasa,positive,SYNTHETIC_DEMO,nse gains 3% this week on investor confidence. markets looking healthy.,0.0,0.488,0.512,0.8126,Positive,2022-02,Feb 2022,7
KE-0406,Peaceful voting is a sign of maturity. Proud to be Kenyan today. #Uchaguzi2022,2022-02-17 07:56:56,Elections,Eldoret,positive,SYNTHETIC_DEMO,peaceful voting is a sign of maturity. proud to be kenyan today. uchaguzi2022,0.0,0.636,0.364,0.743,Positive,2022-02,Feb 2022,7
KE-0374,NSE gains 3% this week on investor confidence. Markets looking healthy.,2022-02-17 13:59:13,Economy,Nakuru,positive,SYNTHETIC_DEMO,nse gains 3% this week on investor confidence. markets looking healthy.,0.0,0.488,0.512,0.8126,Positive,2022-02,Feb 2022,7
KE-0350,Voter intimidation reported in several constituencies. This is unacceptable.,2022-02-17 15:03:49,Elections,Nyeri,negative,SYNTHETIC_DEMO,voter intimidation reported in several constituencies. this is unacceptable.,0.453,0.547,0.0,-0.7003,Negative,2022-02,Feb 2022,7
KE-0215,Tallying of results continues at constituency level. Updates pending.,2022-02-17 23:55:49,Elections,Eldoret,neutral,SYNTHETIC_DEMO,tallying of results continues at constituency level. updates pending.,0.0,1.0,0.0,0.0,Neutral,2022-02,Feb 2022,7
KE-0361,NHIF coverage expansion reaches more households in rural Kenya. A step forward.,2022-02-18 05:15:55,Healthcare,Garissa,positive,SYNTHETIC_DEMO,nhif coverage expansion reaches more households in rural kenya. a step forward.,0.0,0.902,0.098,0.0516,Positive,2022-02,Feb 2022,7
KE-0358,Cost of unga and basic commodities unbearable. Ordinary Kenyans are suffering.,2022-02-18 16:07:48,Economy,Kakamega,negative,SYNTHETIC_DEMO,cost of unga and basic commodities unbearable. ordinary kenyans are suffering.,0.237,0.763,0.0,-0.4767,Negative,2022-02,Feb 2022,7
KE-0343,Doctors still on strike after 3 weeks. Patients dying in hospital corridors.,2022-02-19 00:32:56,Healthcare,Nyeri,negative,SYNTHETIC_DEMO,doctors still on strike after 3 weeks. patients dying in hospital corridors.,0.12,0.88,0.0,-0.128,Negative,2022-02,Feb 2022,7
KE-0088,Community policing initiatives reducing crime in Nairobi estates. Good progress.,2022-02-19 10:24:29,Security,Eldoret,positive,SYNTHETIC_DEMO,community policing initiatives reducing crime in nairobi estates. good progress.,0.216,0.432,0.352,0.296,Positive,2022-02,Feb 2022,7
KE-0447,Violence at polling stations is shameful. Our democracy is under threat.,2022-02-19 10:57:39,Elections,Machakos,negative,SYNTHETIC_DEMO,violence at polling stations is shameful. our democracy is under threat.,0.572,0.428,0.0,-0.8934,Negative,2022-02,Feb 2022,7
KE-0071,Kenya Medical Supplies Authority to distribute free ARVs to 54 public hospitals.,2022-02-19 11:52:42,Healthcare,Kisumu,neutral,SYNTHETIC_DEMO,kenya medical supplies authority to distribute free arvs to 54 public hospitals.,0.0,0.685,0.315,0.5574,Positive,2022-02,Feb 2022,7
KE-0113,Crime wave in Mombasa Old Town worrying residents. Where is the state?,2022-02-19 13:34:38,Security,Kisumu,negative,SYNTHETIC_DEMO,crime wave in mombasa old town worrying residents. where is the state?,0.371,0.629,0.0,-0.7096,Negative,2022-02,Feb 2022,7
KE-0031,NHIF reforms failing to protect the poorest Kenyans. Reform the system now.,2022-02-19 20:41:42,Healthcare,Garissa,negative,SYNTHETIC_DEMO,nhif reforms failing to protect the poorest kenyans. reform the system now.,0.37,0.489,0.141,-0.6369,Negative,2022-02,Feb 2022,7
