record_id,text,timestamp,topic,region,event_phase,reference_event,subtopic_tag,source_style,language_style,data_source
KE22-0071,Crowds in Nairobi followed the speeches closely as both camps pushed final get-out-the-vote appeals.,2022-07-08 19:46:41,Political Rallies,Nairobi,Campaign Build-up,peace_messaging,crowd_mobilization,campaign_update,English,PROJECT_CURATED_CORPUS
KE22-0777,Too many unanswered questions around IEBC communication. Confidence is dropping fast in Kiambu. uchaguzi ni yetu.,2022-07-09 11:15:40,Public Opinion,Kiambu,Campaign Build-up,voter_mobilization,peace_message,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0885,Results from Kiambu are taking too long to verify and that gap is feeding suspicion.,2022-07-09 18:32:57,Counting & Results,Kiambu,Campaign Build-up,smartmatic_controversy,transmission_issue,social_post,English,PROJECT_CURATED_CORPUS
KE22-0505,"Whatever our politics, Kenya looks calm so far. This is the kind of uchaguzi we prayed for.",2022-07-10 06:05:00,Public Opinion,Kisumu,Campaign Build-up,peace_messaging,results_anxiety,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0127,Trust is getting damaged because officials are not explaining what is happening at Bomas properly.,2022-07-10 22:39:53,Public Opinion,Kajiado,Campaign Build-up,campaign_finale,trust_in_iebc,social_post,English,PROJECT_CURATED_CORPUS
KE22-0805,Community peace volunteers in Mombasa are doing a solid job cooling tensions near the polling centre. Tuwe watulivu.,2022-07-12 07:24:19,Positive Events,Mombasa,Campaign Build-up,smartmatic_controversy,community_monitoring,citizen_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0869,Community peace volunteers in Kakamega are doing a solid job cooling tensions near the polling centre.,2022-07-13 13:41:55,Positive Events,Kakamega,Campaign Build-up,campaign_finale,peace_initiative,peace_monitor,English,PROJECT_CURATED_CORPUS
KE22-0036,Reporters tracking the count say political camps are contesting figures from multiple constituencies.,2022-07-13 23:44:00,Media Reports,Bungoma,Campaign Build-up,peace_messaging,observer_brief,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0818,Manual register not available at one desk in Nairobi; the presiding team looked unprepared.,2022-07-14 11:15:55,Polling Administration,Nairobi,Campaign Build-up,smartmatic_controversy,manual_register,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0336,Too many unanswered questions around IEBC communication. Confidence is dropping fast in Nairobi.,2022-07-14 11:41:08,Public Opinion,Nairobi,Campaign Build-up,voter_mobilization,concern_over_integrity,citizen_commentary,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0296,Security teams in Kiambu managed the crowd early and the area has stayed calm since.,2022-07-15 00:28:31,Security Issues,Kiambu,Campaign Build-up,campaign_finale,road_blockage,incident_report,English,PROJECT_CURATED_CORPUS
KE22-0059,"The mood around Bungoma feels orderly and hopeful. Watu waamue, we keep peace.",2022-07-15 10:44:34,Public Opinion,Bungoma,Campaign Build-up,campaign_finale,trust_in_iebc,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0235,Kenya Kwanza rally in Kiambu drew a strong crowd and the message stayed focused on jobs and turnout.,2022-07-15 14:35:45,Political Rallies,Kiambu,Campaign Build-up,voter_mobilization,crowd_mobilization,news_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0252,People are angry about delays and mixed messaging. This process should feel clearer than this.,2022-07-16 01:45:27,Public Opinion,Nairobi,Campaign Build-up,peace_messaging,candidate_support,citizen_commentary,English,PROJECT_CURATED_CORPUS
KE22-0417,Too many unanswered questions around IEBC communication. Confidence is dropping fast in Nakuru.,2022-07-16 03:32:12,Public Opinion,Nakuru,Campaign Build-up,peace_messaging,concern_over_integrity,social_post,English,PROJECT_CURATED_CORPUS
KE22-0611,"Media desks report steady voter traffic in Nairobi, with isolated delays under review.",2022-07-16 12:57:05,Media Reports,Nairobi,Campaign Build-up,voter_mobilization,headline_update,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0182,Too many unanswered questions around IEBC communication. Confidence is dropping fast in Bungoma. Hii sio sawa. uchaguzi ni yetu.,2022-07-16 23:40:36,Public Opinion,Bungoma,Campaign Build-up,smartmatic_controversy,trust_in_iebc,citizen_commentary,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0095,"Observers say turnout patterns remain uneven, with urban stations moving slower than rural centres.",2022-07-17 03:23:23,Media Reports,Kajiado,Campaign Build-up,voter_mobilization,candidate_quote,news_update,English,PROJECT_CURATED_CORPUS
KE22-0773,Heavy tension outside the tally site in Kakamega; police are struggling to separate rival groups.,2022-07-17 14:04:18,Security Issues,Kakamega,Campaign Build-up,smartmatic_controversy,police_presence,situation_update,English,PROJECT_CURATED_CORPUS
KE22-0265,Too many unanswered questions around IEBC communication. Confidence is dropping fast in Nairobi.,2022-07-17 14:14:23,Public Opinion,Nairobi,Campaign Build-up,voter_mobilization,results_anxiety,citizen_commentary,English,PROJECT_CURATED_CORPUS
KE22-0749,"Conversation in Mombasa is split between turnout, agents and what happens at Bomas next.",2022-07-17 16:31:08,Public Opinion,Mombasa,Campaign Build-up,campaign_finale,results_anxiety,citizen_commentary,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0598,Police visibility around the station in Siaya is high but professional. So far hakuna shida.,2022-07-17 16:40:44,Security Issues,Siaya,Campaign Build-up,voter_mobilization,road_blockage,situation_update,English,PROJECT_CURATED_CORPUS
KE22-0541,Some voters in Kiambu say they were redirected after finding their names listed at another station.,2022-07-18 05:59:06,Voting Issues,Kiambu,Campaign Build-up,peace_messaging,queue_delay,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0845,Campaign teams release parallel statements as the commission continues verification of forms.,2022-07-18 11:35:30,Media Reports,Kisumu,Campaign Build-up,voter_mobilization,observer_brief,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0306,Rigathi Gachagua rally in Kisumu drew a strong crowd and the message stayed focused on jobs and turnout. Tuwe watulivu.,2022-07-18 12:19:09,Political Rallies,Kisumu,Campaign Build-up,peace_messaging,campaign_message,news_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0107,Several voters in Kakamega cannot find their names even after checking multiple desks.,2022-07-18 14:35:31,Voting Issues,Kakamega,Campaign Build-up,voter_mobilization,kiems_issue,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0741,Road blockage reported near a voting centre in Homabay. People are being told to avoid the area.,2022-07-18 22:55:59,Security Issues,Homabay,Campaign Build-up,peace_messaging,localized_disruption,situation_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0165,The street mood in Garissa is cautious. Everyone is watching IEBC updates closely. uchaguzi ni yetu.,2022-07-18 23:08:21,Public Opinion,Garissa,Campaign Build-up,campaign_finale,candidate_support,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0100,"Observers say turnout patterns remain uneven, with urban stations moving slower than rural centres.",2022-07-19 05:14:07,Media Reports,Kisumu,Campaign Build-up,voter_mobilization,observer_brief,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0631,Officials in Kiambu say manual registers were delivered after the opening delay.,2022-07-19 08:48:08,Polling Administration,Kiambu,Campaign Build-up,campaign_finale,manual_register,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0066,Observers say media and agents faced avoidable access problems because of poor staff coordination in Nakuru.,2022-07-19 17:38:44,Staffing Issues,Nakuru,Campaign Build-up,voter_mobilization,agent_access,incident_report,English,PROJECT_CURATED_CORPUS
KE22-0399,IEBC says agents are present and tallying continues under public scrutiny at Bomas.,2022-07-20 13:08:14,Media Reports,Kisumu,Campaign Build-up,voter_mobilization,observer_brief,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0463,"I may not agree with everyone, but voters turning out quietly in Nairobi is encouraging.",2022-07-21 00:36:46,Public Opinion,Nairobi,Campaign Build-up,voter_mobilization,concern_over_integrity,social_post,English,PROJECT_CURATED_CORPUS
KE22-0677,People have been on the queue for hours in Nakuru and still no clear guidance from officials.,2022-07-21 05:17:31,Voting Issues,Nakuru,Campaign Build-up,peace_messaging,register_problem,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0623,Trust is getting damaged because officials are not explaining what is happening at Bomas properly.,2022-07-21 08:43:25,Public Opinion,Bungoma,Campaign Build-up,campaign_finale,results_anxiety,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0489,Campaign teams release parallel statements as the commission continues verification of forms.,2022-07-21 12:41:15,Media Reports,Mombasa,Campaign Build-up,voter_mobilization,candidate_quote,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0319,Confusion over ballot papers and desk flow is slowing the station badly in Siaya.,2022-07-21 13:29:00,Polling Administration,Siaya,Campaign Build-up,smartmatic_controversy,late_opening,citizen_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0797,Polling station in Mombasa opened late and some voters left before materials were ready.,2022-07-21 15:10:59,Polling Administration,Mombasa,Campaign Build-up,voter_mobilization,missing_materials,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0706,"Conversation in Nakuru is split between turnout, agents and what happens at Bomas next.",2022-07-22 07:00:11,Public Opinion,Nakuru,Campaign Build-up,peace_messaging,candidate_support,citizen_commentary,English,PROJECT_CURATED_CORPUS
KE22-0588,Manual register not available at one desk in Kiambu; the presiding team looked unprepared.,2022-07-22 20:18:06,Polling Administration,Kiambu,Campaign Build-up,voter_mobilization,late_opening,citizen_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0129,Supporters in Uasin Gishu say the rally felt energized but disciplined. No chaos after dispersal. Tuwe watulivu.,2022-07-23 08:59:27,Political Rallies,Uasin Gishu,Campaign Build-up,smartmatic_controversy,candidate_itinerary,campaign_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0198,Party agents in Uasin Gishu say some officials are acting partisan instead of procedural.,2022-07-23 23:43:59,Staffing Issues,Uasin Gishu,Campaign Build-up,peace_messaging,official_absence,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0157,Threatening slogans and online incitement are making the atmosphere in Nakuru feel unsafe.,2022-07-24 03:54:26,Security Issues,Nakuru,Campaign Build-up,peace_messaging,police_presence,situation_update,English,PROJECT_CURATED_CORPUS
KE22-0174,KIEMS kit at this station in Uasin Gishu keeps failing and older voters are getting frustrated.,2022-07-24 16:11:05,Voting Issues,Uasin Gishu,Campaign Build-up,campaign_finale,invalid_ballot,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0522,Rigathi Gachagua campaign team released today's itinerary for Nairobi and neighbouring constituencies.,2022-07-24 16:53:00,Political Rallies,Nairobi,Campaign Build-up,peace_messaging,campaign_message,campaign_update,English,PROJECT_CURATED_CORPUS
KE22-0471,"Coalition speakers in Kisumu spent most of the rally on turnout, agents and vote protection.",2022-07-24 17:32:00,Political Rallies,Kisumu,Campaign Build-up,voter_mobilization,crowd_mobilization,campaign_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0650,Threatening slogans and online incitement are making the atmosphere in Garissa feel unsafe.,2022-07-24 18:04:00,Security Issues,Garissa,Campaign Build-up,smartmatic_controversy,localized_disruption,incident_report,English,PROJECT_CURATED_CORPUS
KE22-0361,Rally messaging in Bungoma crossed into provocation and supporters started trading insults online.,2022-07-24 18:21:00,Political Rallies,Bungoma,Campaign Build-up,smartmatic_controversy,crowd_mobilization,news_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0867,Polling stations in Kiambu are adjusting desk layout to reduce congestion as turnout rises.,2022-07-24 18:35:00,Polling Administration,Kiambu,Campaign Build-up,smartmatic_controversy,station_flow,citizen_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0862,Crowds in Nakuru followed the speeches closely as both camps pushed final get-out-the-vote appeals.,2022-07-24 19:29:00,Political Rallies,Nakuru,Campaign Build-up,peace_messaging,coalition_response,campaign_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0279,"Everything is moving well at this station in Siaya. Long line, yes, but people are patient and calm.",2022-07-24 21:10:00,Positive Events,Siaya,Campaign Build-up,campaign_finale,peace_initiative,peace_monitor,English,PROJECT_CURATED_CORPUS
KE22-0577,Teams are monitoring transport routes and public screens in Nakuru after rumor traffic rose online.,2022-07-24 21:25:00,Security Issues,Nakuru,Campaign Build-up,voter_mobilization,road_blockage,situation_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0652,"It is hard to calm voters when every hour brings a new rumor about forms, servers or agents. uchaguzi ni yetu.",2022-07-24 22:38:00,Public Opinion,Nairobi,Campaign Build-up,voter_mobilization,results_anxiety,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0271,Martha Karua rally in Kiambu drew a strong crowd and the message stayed focused on jobs and turnout.,2022-07-24 22:46:00,Political Rallies,Kiambu,Campaign Build-up,smartmatic_controversy,crowd_mobilization,news_update,English,PROJECT_CURATED_CORPUS
KE22-0240,Some voters in Kakamega say they were redirected after finding their names listed at another station.,2022-07-24 22:49:00,Voting Issues,Kakamega,Campaign Build-up,campaign_finale,invalid_ballot,citizen_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0171,Observers say media and agents faced avoidable access problems because of poor staff coordination in Siaya.,2022-07-24 23:18:00,Staffing Issues,Siaya,Campaign Build-up,voter_mobilization,staff_arrest,incident_report,English,PROJECT_CURATED_CORPUS
KE22-0411,"Whatever our politics, Kenya looks calm so far. This is the kind of uchaguzi we prayed for.",2022-07-24 23:53:00,Public Opinion,Nairobi,Campaign Build-up,campaign_finale,peace_message,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0301,Reports from Mombasa suggest staff were missing at opening time and the station never really recovered.,2022-07-25 00:30:00,Staffing Issues,Mombasa,Campaign Build-up,voter_mobilization,agent_access,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0859,Reports from Nairobi suggest staff were missing at opening time and the station never really recovered.,2022-07-25 01:40:00,Staffing Issues,Nairobi,Campaign Build-up,smartmatic_controversy,official_absence,incident_report,English,PROJECT_CURATED_CORPUS
KE22-0716,Observers note orderly opening in most stations sampled this morning across Kisumu.,2022-07-25 01:59:00,Media Reports,Kisumu,Campaign Build-up,peace_messaging,commission_update,news_update,English,PROJECT_CURATED_CORPUS
KE22-0657,watu have been on the queue for hours in Nairobi and still no clear guidance from officials.,2022-07-25 04:18:00,Voting Issues,Nairobi,Campaign Build-up,peace_messaging,voter_assistance,citizen_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0321,People are angry about delays and mixed messaging. This process should feel clearer than this.,2022-07-25 04:42:00,Public Opinion,Kakamega,Campaign Build-up,smartmatic_controversy,peace_message,citizen_commentary,English,PROJECT_CURATED_CORPUS
KE22-0482,"It is hard to calm voters when every hour brings a new rumor about forms, servers or agents.",2022-07-25 06:51:00,Public Opinion,Nairobi,Campaign Build-up,smartmatic_controversy,candidate_support,citizen_commentary,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0802,Campaign teams release parallel statements as the commission continues verification of forms.,2022-07-25 07:00:00,Media Reports,Mombasa,Campaign Build-up,campaign_finale,commission_update,news_update,English,PROJECT_CURATED_CORPUS
KE22-0499,Kenya Kwanza campaign team released today's itinerary for Uasin Gishu and neighbouring constituencies.,2022-07-25 08:20:00,Political Rallies,Uasin Gishu,Campaign Build-up,smartmatic_controversy,campaign_message,news_update,English,PROJECT_CURATED_CORPUS
KE22-0817,Trust is getting damaged because officials are not explaining what is happening at Bomas properly. Hii sio sawa.,2022-07-25 08:58:00,Public Opinion,Garissa,Campaign Build-up,voter_mobilization,trust_in_iebc,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0762,Residents in Mombasa report visible but calm police patrols around election hot spots.,2022-07-25 09:50:03,Security Issues,Mombasa,Campaign Build-up,smartmatic_controversy,localized_disruption,incident_report,English,PROJECT_CURATED_CORPUS
KE22-0545,Supporters in Mombasa say the rally felt energized but disciplined. No chaos after dispersal. Tuwe watulivu.,2022-07-25 16:25:00,Political Rallies,Mombasa,Campaign Build-up,campaign_finale,crowd_mobilization,news_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0820,KIEMS kit at this station in Homabay keeps failing and older voters are getting frustrated.,2022-07-25 17:03:00,Voting Issues,Homabay,Campaign Build-up,peace_messaging,register_problem,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0266,Crowds in Siaya followed the speeches closely as both camps pushed final get-out-the-vote appeals.,2022-07-25 18:03:00,Political Rallies,Siaya,Campaign Build-up,peace_messaging,coalition_response,campaign_update,English,PROJECT_CURATED_CORPUS
KE22-0364,Campaign stop in Nairobi ended with leaders calling for peace and acceptance of official results.,2022-07-25 18:36:39,Political Rallies,Nairobi,Campaign Build-up,smartmatic_controversy,coalition_response,news_update,English,PROJECT_CURATED_CORPUS
KE22-0328,"The mood around Mombasa feels orderly and hopeful. Watu waamue, we keep peace.",2022-07-25 18:46:00,Public Opinion,Mombasa,Campaign Build-up,campaign_finale,results_anxiety,social_post,English,PROJECT_CURATED_CORPUS
KE22-0003,Road blockage reported near a voting centre in Siaya. People are being told to avoid the area.,2022-07-25 18:54:00,Security Issues,Siaya,Campaign Build-up,peace_messaging,police_presence,situation_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0628,"Voters here are sharing water, directions and information. Good atmosphere despite the pressure.",2022-07-25 18:56:00,Positive Events,Bungoma,Campaign Build-up,voter_mobilization,orderly_voting,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0601,People have been on the queue for hours in Kakamega and still no clear guidance from officials.,2022-07-25 18:56:00,Voting Issues,Kakamega,Campaign Build-up,voter_mobilization,kiems_issue,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0688,Tallying from Uasin Gishu continues as parties compare Form 34A uploads against local records.,2022-07-25 19:29:00,Counting & Results,Uasin Gishu,Campaign Build-up,smartmatic_controversy,bomas_update,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0763,Reports from Nakuru suggest staff were missing at opening time and the station never really recovered.,2022-07-25 19:33:00,Staffing Issues,Nakuru,Campaign Build-up,peace_messaging,agent_access,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0403,"Peace teams are present in Siaya, but tempers are rising after repeated queue management problems.",2022-07-25 20:58:00,Positive Events,Siaya,Campaign Build-up,voter_mobilization,community_monitoring,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0804,People around here are mostly waiting for official communication before reacting either way.,2022-07-25 21:39:00,Public Opinion,Nakuru,Campaign Build-up,peace_messaging,results_anxiety,social_post,English,PROJECT_CURATED_CORPUS
KE22-0312,Forms from Nairobi are finally appearing online and agents can verify them. That helps confidence.,2022-07-25 22:21:00,Counting & Results,Nairobi,Campaign Build-up,smartmatic_controversy,form_34a,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0738,Station managers in Uasin Gishu opened late but recovered quickly once extra materials arrived.,2022-07-25 23:02:00,Polling Administration,Uasin Gishu,Campaign Build-up,campaign_finale,late_opening,citizen_report,English,PROJECT_CURATED_CORPUS
KE22-0900,"Voters here are sharing water, directions and information. Good atmosphere despite the pressure.",2022-07-25 23:45:00,Positive Events,Mombasa,Campaign Build-up,peace_messaging,citizen_support,citizen_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0501,Media update: disputes over forms and tallying procedures intensify pressure on the commission.,2022-07-26 00:03:00,Media Reports,Bungoma,Campaign Build-up,campaign_finale,headline_update,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0461,"I may not agree with everyone, but voters turning out quietly in Bungoma is encouraging.",2022-07-26 00:07:00,Public Opinion,Bungoma,Campaign Build-up,campaign_finale,trust_in_iebc,citizen_commentary,English,PROJECT_CURATED_CORPUS
KE22-0067,Rigathi Gachagua campaign team released today's itinerary for Homabay and neighbouring constituencies.,2022-07-26 00:37:00,Political Rallies,Homabay,Campaign Build-up,smartmatic_controversy,coalition_response,news_update,English,PROJECT_CURATED_CORPUS
KE22-0649,Party agents in Uasin Gishu say some officials are acting partisan instead of procedural.,2022-07-26 00:42:00,Staffing Issues,Uasin Gishu,Campaign Build-up,voter_mobilization,agent_access,incident_report,English,PROJECT_CURATED_CORPUS
KE22-0708,Trust is getting damaged because officials are not explaining what is happening at Bomas properly. Hii sio sawa. uchaguzi ni yetu.,2022-07-26 01:02:00,Public Opinion,Homabay,Campaign Build-up,campaign_finale,candidate_support,social_post,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0359,Campaign stop in Nairobi ended with leaders calling for peace and acceptance of official results.,2022-07-26 01:13:00,Political Rallies,Nairobi,Campaign Build-up,campaign_finale,campaign_message,news_update,English,PROJECT_CURATED_CORPUS
KE22-0424,Polling station in Kisumu opened late and some voters left before materials were ready.,2022-07-26 01:36:31,Polling Administration,Kisumu,Campaign Build-up,peace_messaging,manual_register,observer_note,English,PROJECT_CURATED_CORPUS
KE22-0421,"Media desks report steady voter traffic in Siaya, with isolated delays under review.",2022-07-26 01:40:00,Media Reports,Siaya,Campaign Build-up,smartmatic_controversy,commission_update,news_update,English,PROJECT_CURATED_CORPUS
KE22-0332,"Everything is moving well at this station in Kisumu. Long line, yes, but people are patient and tulivu.",2022-07-26 02:43:00,Positive Events,Kisumu,Campaign Build-up,voter_mobilization,orderly_voting,citizen_report,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0600,"I may not agree with everyone, but voters turning out quietly in Bungoma is encouraging.",2022-07-26 03:21:00,Public Opinion,Bungoma,Campaign Build-up,campaign_finale,concern_over_integrity,social_post,English,PROJECT_CURATED_CORPUS
KE22-0793,commission officials says agents are present and tallying continues under public scrutiny at Bomas.,2022-07-26 03:45:00,Media Reports,Uasin Gishu,Campaign Build-up,campaign_finale,commission_update,headline_brief,English,PROJECT_CURATED_CORPUS
KE22-0637,Rally messaging in Kajiado crossed into provocation and supporters started trading insults online. Hii sio sawa.,2022-07-26 04:05:00,Political Rallies,Kajiado,Campaign Build-up,campaign_finale,crowd_mobilization,news_update,English-Swahili,PROJECT_CURATED_CORPUS
KE22-0765,Trust is getting damaged because officials are not explaining what is happening at Bomas properly. uchaguzi ni yetu.,2022-07-26 04:08:53,Public Opinion,Kisumu,Campaign Build-up,campaign_finale,peace_message,social_post,English-Swahili,PROJECT_CURATED_CORPUS
